                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11 
                          version_number                                 compiler                                    build                         MESA_SDK_version                             math_backend                                     date                                burn_min1                                burn_min2                                     msun                                     rsun                                     lsun 
                              "r23.05.1"                               "gfortran"                                 "10.2.0"                    "x86_64-macos-23.7.2"                                 "CRMATH"                               "20231012"                  5.0000000000000000E+001                  1.0000000000000000E+003                  1.9884098706980504E+033                  6.9570000000000000E+010                  3.8280000000000003E+033 

                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11                                       12                                       13                                       14                                       15                                       16                                       17                                       18                                       19                                       20                                       21                                       22                                       23                                       24                                       25                                       26                                       27                                       28                                       29                                       30                                       31                                       32                                       33                                       34                                       35                                       36                                       37                                       38                                       39                                       40                                       41                                       42                                       43                                       44                                       45                                       46                                       47                                       48                                       49                                       50                                       51                                       52                                       53                                       54                                       55                                       56                                       57                                       58                                       59                                       60                                       61                                       62                                       63                                       64                                       65 
                            model_number                                num_zones                                 star_age                                   log_dt                                star_mass                               log_xmstar                             log_abs_mdot                           mass_conv_core                             conv_mx1_top                             conv_mx1_bot                             conv_mx2_top                             conv_mx2_bot                                  mx1_top                                  mx1_bot                                  mx2_top                                  mx2_bot                                   log_LH                                  log_LHe                                   log_LZ                                 log_Lnuc                                       pp                                      cno                                tri_alpha                               epsnuc_M_1                               epsnuc_M_2                               epsnuc_M_3                               epsnuc_M_4                               epsnuc_M_5                               epsnuc_M_6                               epsnuc_M_7                               epsnuc_M_8                             he_core_mass                             co_core_mass                            one_core_mass                             fe_core_mass                   neutron_rich_core_mass                            envelope_mass                                 log_Teff                                    log_L                                    log_R                                    log_g                           log_L_div_Ledd                        v_div_csound_surf                             log_center_T                           log_center_Rho                             log_center_P                               log_cntr_P                             log_cntr_Rho                               log_cntr_T                        center_degeneracy                             center_gamma                                center_mu                                center_ye                              center_abar                           center_entropy                                center_h1                               center_he4                               center_c12                               center_o16                              surface_c12                              surface_o16                            total_mass_h1                           total_mass_he4                              num_retries                                num_iters 
                                       1                                      757                  5.0000000000000000E+001                  1.6989700043360187E+000                  6.0757374350508375E-001                  3.3082104907781101E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  1.0000000000000000E+000                  9.9999999999996669E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.0000000000000000E+000                  9.9999999999996669E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                 -8.3521952967565150E-001                 -1.0020442331603210E+001                 -5.1013545521589343E+000                 -8.3519599854714854E-001                 -2.4584242089534278E+000                 -8.4568605148716613E-001                 -1.0020442331603210E+001                  1.2073854057994408E+033                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  1.2074551572490711E+033                  1.2074636108458426E+033                  1.2075948646287906E+033                  1.2078766145285760E+033                  1.2080547638941475E+033                  6.0747277679559930E-001                  5.8524163134002927E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.0096670948445130E-004                  4.6675917892222767E+000                 -1.7503429958011987E-002                 -1.8212821325590638E+000                  7.8642308898416902E+000                 -2.6826018393020390E+000                  0.0000000000000000E+000                  7.7728517532926977E+000                  6.5542683317055115E+000                  2.3260501298781318E+001                  2.3260501298781318E+001                  6.5542683317055115E+000                  7.7728517532926977E+000                  5.8096338638596421E+001                  1.2937229716124438E+001                  1.7621509869720344E+000                  4.9909031487146749E-001                  1.4620321955540572E+001                  9.6711064659415991E-001                  0.0000000000000000E+000                  7.4003392366466604E-015                  3.0565171451451278E-001                  6.6832491774548564E-001                  5.5167935330341060E-016                  4.8631991718653517E-016                  5.4297200429385564E-005                  1.4741601525980896E-002                                        1                                        5 
                                      10                                     1334                  1.2979341055999998E+003                  2.4116012187646421E+000                  6.0757374350508375E-001                  3.3082104907781101E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                 -8.3836822872489725E-001                 -1.0023408889675631E+001                 -5.1034533171880554E+000                 -8.3834464064171577E-001                 -2.4589202767835059E+000                 -8.4889965852683447E-001                 -1.0023408889675631E+001                  1.2073848714684854E+033                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  1.2074493112442141E+033                  1.2074595260349760E+033                  1.2075952975286645E+033                  1.2078743767190395E+033                  1.2080540135837329E+033                  6.0747118563842395E-001                  5.8521575552628191E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.0255786665980260E-004                  4.6675531817163591E+000                 -1.7677264483247083E-002                 -1.8212918348098448E+000                  7.8642502943432522E+000                 -2.6826861089073928E+000                  0.0000000000000000E+000                  7.7727825480341206E+000                  6.5542119736777762E+000                  2.3260415984470956E+001                  2.3260415984470956E+001                  6.5542119736777762E+000                  7.7727825480341206E+000                  5.8101499552734204E+001                  1.2938731752325889E+001                  1.7621509872002601E+000                  4.9909031482435395E-001                  1.4620321961180490E+001                  9.6709304212117408E-001                  0.0000000000000000E+000                  7.4003391499874753E-015                  3.0565171409444780E-001                  6.6832491713099473E-001                  5.5190353383462299E-016                  4.8667659471848756E-016                  5.4294699684547211E-005                  1.4741604011427019E-002                                        1                                        2 
                                      20                                     1338                  9.3343999811186841E+003                  3.2034136792408900E+000                  6.0757374350508375E-001                  3.3082104907781101E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                 -8.4574832099575459E-001                 -1.0038269742309145E+001                 -5.1148520027566819E+000                 -8.4572495016639360E-001                 -2.4605493143084751E+000                 -8.5642187781621093E-001                 -1.0038269742309145E+001                  1.2073867857502168E+033                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  1.2074490400317401E+033                  1.2074555370031566E+033                  1.2075958612084311E+033                  1.2078728117480638E+033                  1.2080539163738662E+033                  6.0747118563842395E-001                  5.8521575552628213E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.0255786665980260E-004                  4.6669098764347803E+000                 -2.0527312271702639E-002                 -1.8214302481409148E+000                  7.8645271210053922E+000                 -2.6840500040272923E+000                  0.0000000000000000E+000                  7.7725764233082701E+000                  6.5542708109374974E+000                  2.3260502153655626E+001                  2.3260502153655626E+001                  6.5542708109374974E+000                  7.7725764233082701E+000                  5.8133397662853923E+001                  1.2945458822233233E+001                  1.7621509886696449E+000                  4.9909031452097347E-001                  1.4620321997481110E+001                  9.6698453664931971E-001                  0.0000000000000000E+000                  7.4003385966767319E-015                  3.0565171139305064E-001                  6.6832491317071607E-001                  5.5175676767088887E-016                  4.8641975771613159E-016                  5.4281428099565499E-005                  1.4741617234283078E-002                                        1                                        3 
                                      30                                     1339                  5.9094078449942426E+004                  3.9952261397171385E+000                  6.0757374350508375E-001                  3.3082104907781101E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                 -8.5865304569546441E-001                 -1.0130321479573489E+001                 -5.1848277449487021E+000                 -8.5863255275448835E-001                 -2.4664386670344807E+000                 -8.6950260697626780E-001                 -1.0130321479573489E+001                  1.2073937061030151E+033                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  1.2074512974529981E+033                  1.2074560173712310E+033                  1.2075963055035706E+033                  1.2078662186654158E+033                  1.2080537755289331E+033                  6.0747118563842395E-001                  5.8521575552628213E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.0255786665980260E-004                  4.6641806399597225E+000                 -3.2883100887668666E-002                 -1.8221496694987831E+000                  7.8659659637211288E+000                 -2.6900753436638594E+000                  0.0000000000000000E+000                  7.7713147291257840E+000                  6.5546291157386918E+000                  2.3261026860611413E+001                  2.3261026860611413E+001                  6.5546291157386918E+000                  7.7713147291257840E+000                  5.8328892537229443E+001                  1.2986693332392150E+001                  1.7621509977670868E+000                  4.9909031264258275E-001                  1.4620322222216720E+001                  9.6632103290967153E-001                  0.0000000000000000E+000                  7.4003352835337655E-015                  3.0565169467167552E-001                  6.6832488864634809E-001                  5.5087338718086928E-016                  4.8484670889769900E-016                  5.4207905377500277E-005                  1.4741690578060532E-002                                        1                                        3 
                                      40                                     1347                  3.6719289199227124E+005                  4.7870386001933865E+000                  6.0757374350508375E-001                  3.3082104907781101E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                 -9.0525103300078191E-001                 -1.0681963848970993E+001                 -5.6005478937000559E+000                 -9.0524227335244734E-001                 -2.5004394260061802E+000                 -9.1642404975007175E-001                 -1.0681963848970993E+001                  1.2073082323928938E+033                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  1.2073226622098327E+033                  1.2073366330523914E+033                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  1.2073775060458687E+033                  6.0747303161889421E-001                  5.8521575552628236E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.0071188618954174E-004                  4.6498282981061765E+000                 -9.8096543461441560E-002                 -1.8260517070785771E+000                  7.8737700388807168E+000                 -2.7223110769080492E+000                  0.0000000000000000E+000                  7.7640193183927533E+000                  6.5566427737483437E+000                  2.3263974383541772E+001                  2.3263974383541772E+001                  6.5566427737483437E+000                  7.7640193183927533E+000                  5.9467855581691502E+001                  1.3227119215312864E+001                  1.7621510540716161E+000                  4.9909030101467922E-001                  1.4620323612593772E+001                  9.6250567096114725E-001                  0.0000000000000000E+000                  7.4003183545625567E-015                  3.0565159133358916E-001                  6.6832473666775816E-001                  5.4627048486808965E-016                  4.7567109565559232E-016                  5.3791908097216564E-005                  1.4742105194596573E-002                                        1                                        4 
                                      50                                     1332                  2.2748595375005347E+006                  5.5788510606696340E+000                  6.0757374350508375E-001                  3.3082104907781101E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                 -1.1907573421875557E+000                 -1.3558370128637474E+001                 -7.6866437351275794E+000                 -1.1907572035444007E+000                 -2.6655494521129590E+000                 -1.2055611375666222E+000                 -1.3558370128637474E+001                  1.2071801344554678E+033                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  1.2071856250241902E+033                  1.2072024722068512E+033                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  1.2073275992392915E+033                  6.0747854392308531E-001                  5.8521575552628147E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.5199581998439697E-005                  4.5837171117343036E+000                 -3.9350198028036343E-001                 -1.8415320527442927E+000                  7.9047307302121483E+000                 -2.8293977360969804E+000                  0.0000000000000000E+000                  7.7298498615761853E+000                  6.5644489146913116E+000                  2.3275358748111064E+001                  2.3275358748111064E+001                  6.5644489146913116E+000                  7.7298498615761853E+000                  6.4972029095321261E+001                  1.4395842796351134E+001                  1.7621514018112312E+000                  4.9909022914646944E-001                  1.4620332188156494E+001                  9.4517514320588936E-001                  0.0000000000000000E+000                  7.4002720291882135E-015                  3.0565095643105622E-001                  6.6832379374375150E-001                  5.3723454889461775E-016                  4.3545082831882983E-016                  5.2054661103578761E-005                  1.4743836120342935E-002                                        1                                       10 
                                      60                                     1327                  8.7910159771543127E+006                  6.0140993647093648E+000                  6.0757374350508375E-001                  3.3082104907781101E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                 -1.7104963140698684E+000                 -1.9628102116327018E+001                 -1.1760666394386334E+001                 -1.7104963140311769E+000                 -2.9244086065905419E+000                 -1.7378800010440647E+000                 -1.9628102116327018E+001                  1.2070853469744953E+033                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  1.2070905911220165E+033                  1.2071735657737371E+033                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  1.2071889093650556E+033                  6.0748602143062769E-001                  5.8498703009231889E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  8.7722074456064725E-005                  4.4787321792588664E+000                 -8.5064072082685593E-001                 -1.8601315580666635E+000                  7.9419297408568896E+000                 -2.8524353422238931E+000                  0.0000000000000000E+000                  7.6606129523280329E+000                  6.5738436510795051E+000                  2.3288874554729052E+001                  2.3288874554729052E+001                  6.5738436510795051E+000                  7.6606129523280329E+000                  7.7109841913579544E+001                  1.7006176090188923E+001                  1.7621525760816370E+000                  4.9908998598975057E-001                  1.4620361046799205E+001                  9.1216929074551045E-001                  0.0000000000000000E+000                  7.4002263490896725E-015                  3.0564884144692739E-001                  6.6832057201227357E-001                  5.6336985229181936E-016                  4.0520922421633091E-016                  4.9483468512262691E-005                  1.4746391992380588E-002                                        1                                        5 
                                      70                                     1322                  2.5488094786420476E+007                  6.3521176059065780E+000                  6.0757374350508375E-001                  3.3082104907781101E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                 -2.2598625861340280E+000                 -2.5684468765576934E+001                 -1.6122280487220252E+001                 -2.2598625861340218E+000                 -3.1342227198606345E+000                 -2.3221184595214339E+000                 -2.5684468765576934E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  6.0749157890105754E-001                  5.8475098086159549E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  8.2164604026213617E-005                  4.3913993539183318E+000                 -1.2244649517208628E+000                 -1.8723780228325990E+000                  7.9664226703887611E+000                 -2.9435572337367395E+000                  0.0000000000000000E+000                  7.5592133564854507E+000                  6.5806757134258484E+000                  2.3298445687132610E+001                  2.3298445687132610E+001                  6.5806757134258484E+000                  7.5592133564854507E+000                  9.8232907613031273E+001                  2.1591673078404188E+001                  1.7621554948394760E+000                  4.9908937899274503E-001                  1.4620432220077717E+001                  8.6631853917957435E-001                  0.0000000000000000E+000                  7.4001526218986759E-015                  3.0564374676853573E-001                  6.6831235336088557E-001                  5.1390184993927515E-016                  3.8962985771064707E-016                  4.6796514058288210E-005                  1.4749040573719372E-002                                        1                                        5 
                                      80                                     1296                  5.5856296624857403E+007                  6.5511792680950629E+000                  6.0757374350508375E-001                  3.3082104907781101E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                 -2.6869771210132569E+000                 -2.9473003451674039E+001                 -1.8061799739838872E+001                 -2.6869771210132569E+000                 -3.3165237060664818E+000                 -2.8031271084762373E+000                 -2.9473003451674039E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  6.0749389888708027E-001                  5.8445118837869314E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  7.9844618003477308E-005                  4.3263687811678366E+000                 -1.4998039573099893E+000                 -1.8799863801261705E+000                  7.9816393849759040E+000                 -3.0148955309380154E+000                  0.0000000000000000E+000                  7.4480911583185518E+000                  6.5853355728989929E+000                  2.3304866181596566E+001                  2.3304866181596566E+001                  6.5853355728989929E+000                  7.4480911583185518E+000                  1.2762367217892228E+002                  2.7987644024702377E+001                  1.7621605492439014E+000                  4.9908832183547547E-001                  1.4620554183364403E+001                  8.1722259760894034E-001                  0.0000000000000000E+000                  7.4000331767955688E-015                  3.0563529929384553E-001                  6.6829763425910083E-001                  4.8256969209263462E-016                  3.4483122882944559E-016                  4.4983743214848483E-005                  1.4750790367806641E-002                                        1                                        5 
